数据集,下游模型,填补方法,掩码率,填补MSE,填补MAE,下游MSE,下游MAE,种子,日期,是否汇入总表
ETTm1,TimesNet,nearest,50.0%,0.0674199925211234,0.1546080156401613,0.3336188197135925,0.3701053559780121,2024,2024-09-27  00:24:43,0
ETTm1,TimesNet,nearest,62.5%,0.0804541542495441,0.167020012992395,0.3377595245838165,0.3729004263877868,2024,2024-09-27  01:11:42,0
ETTm1,TimesNet,nearest,75.0%,0.1127472471312752,0.1922059972530507,0.3442685306072235,0.3783941566944122,2024,2024-09-27  01:35:54,0
ETTm1,TimesNet,linear,12.5%,0.0362627897486586,0.1117456166063245,0.3314784467220306,0.3692011833190918,2024,2024-09-27  02:23:14,0
ETTm1,TimesNet,linear,25.0%,0.0394255950090185,0.1157072977481164,0.3328755795955658,0.3697427809238434,2024,2024-09-27  03:10:43,0
ETTm1,TimesNet,linear,37.5%,0.0439916324514128,0.1212749843686527,0.3330711424350738,0.3699678778648376,2024,2024-09-27  03:58:01,0
ETTm1,TimesNet,linear,50.0%,0.0528734016857639,0.1297793031659718,0.3353746235370636,0.3711797595024109,2024,2024-09-27  04:45:36,0
ETTm1,TimesNet,linear,62.5%,0.0692912822717106,0.1441920194761822,0.342179000377655,0.3754395544528961,2024,2024-09-27  05:33:12,0
ETTm1,TimesNet,linear,75.0%,0.1256939559122964,0.1756508770237053,0.3634544610977173,0.3905938565731048,2024,2024-09-27  06:28:26,0
ETTh1,TimesNet,mean,12.5%,0.6356742155962977,0.52594986146894,0.4124786853790283,0.4228004813194275,2024,2024-09-27  06:35:16,0
ETTh1,TimesNet,mean,25.0%,0.638235348051992,0.5266150671175156,0.4111190736293793,0.4222374260425567,2024,2024-09-27  06:42:31,0
ETTh1,TimesNet,mean,37.5%,0.6381665443380674,0.5262781921131857,0.4114437997341156,0.4228506982326507,2024,2024-09-27  06:49:22,0
ETTh1,TimesNet,mean,50.0%,0.6385373752350094,0.5262542827718559,0.4028499722480774,0.4216253757476806,2024,2024-09-27  06:57:02,0
ETTh1,TimesNet,mean,62.5%,0.6393701616546204,0.5265566884786234,0.4079844057559967,0.4242885112762451,2024,2024-09-27  07:04:42,0
ETTh1,TimesNet,mean,75.0%,0.6385358808369472,0.52624061549532,0.4162163436412811,0.4302343428134918,2024,2024-09-27  07:12:13,0
ETTh1,TimesNet,nearest,12.5%,0.1818506218621443,0.2619221202772239,0.4131763577461242,0.4232779145240783,2024,2024-09-27  07:20:15,0
ETTh1,TimesNet,nearest,25.0%,0.1956269814279572,0.2690772559793516,0.4128949046134949,0.423113465309143,2024,2024-09-27  07:28:17,0
ETTh1,TimesNet,nearest,37.5%,0.2224054664544675,0.2821043283603657,0.4147067964076996,0.4237805306911468,2024,2024-09-27  07:36:28,0
ETTh1,TimesNet,nearest,50.0%,0.2668342223369527,0.3028021110542889,0.415943443775177,0.424234926700592,2024,2024-09-27  07:44:42,0
ETTh1,TimesNet,nearest,62.5%,0.3466666823402903,0.3374816929471904,0.4229346811771393,0.427996814250946,2024,2024-09-27  07:52:59,0
ETTh1,TimesNet,nearest,75.0%,0.5021592783688129,0.4000091580138809,0.4506330490112304,0.444029301404953,2024,2024-09-27  08:01:11,0
ETTh1,TimesNet,linear,12.5%,0.089912944783767,0.1889972178500959,0.4138774275779724,0.4234426617622375,2024,2024-09-27  08:09:48,0
ETTh1,TimesNet,linear,25.0%,0.1089819970744094,0.204244047745891,0.4140572249889374,0.4234181046485901,2024,2024-09-27  08:17:56,0
ETTh1,TimesNet,linear,37.5%,0.1406289394516711,0.2252934330153739,0.4135417938232422,0.4234254658222198,2024,2024-09-27  08:26:06,0
ETTh1,TimesNet,linear,50.0%,0.2002126240738849,0.257017045613678,0.4137965142726898,0.4236321449279785,2024,2024-09-27  08:34:17,0
ETTh1,TimesNet,linear,62.5%,0.3134810496763936,0.306415968242733,0.4233930706977844,0.4292359054088592,2024,2024-09-27  08:43:20,0
